"id","nombre","precio_min","precio_max"
25913,"Jugo en Polvo Naranja Dulce Arcor 18 Gr","213.00","213.00"
25914,"Jugo en Polvo Frutilla Arcor 18 Gr","219.00","219.00"
25915,"Jugo en Polvo Durazno Arcor Durazno 18 Gr","218.00","218.00"
25916,"Jugo en Polvo Mango Naranja Bc La Campagnola 7 Gr","225.00","225.00"
25917,"Jugo en Polvo Pomelo Rosado Arcor 18 Gr","219.00","219.00"
25918,"Gaseosa Limon Dulce Retornable Fanta 2 Lt","2029.00","2029.00"
25919,"Coca Cola 354 Ml Pack 6 Un","1767.00","1767.00"
25920,"Gaseosa Limon Dulce Botella Fanta 500 Ml","231.00","231.00"
25921,"Gaseosa Naranja Zero Fanta 2.25 Lt","2849.00","2849.00"
25922,"Coca Cola 375 Cc","499.00","499.00"
25923,"Sprite Lata 310 Cc 6 Un","315.00","315.00"
25924,"Gaseosa Naranja Fanta 6 Un 310 Cc","241.00","249.00"
25925,"Jugo Listo Durazno Mix Nutridefensas Cepita 200 Ml","569.00","569.00"
25926,"Agua Mineral sin Gas Bonaqua 1.5 Lt","1259.00","1259.00"
25927,"Agua Mineral con Gas Bonaqua 1.5 Lt","1529.00","1529.00"
25928,"Agua Saborizada Pomelo Rosado Aquarius 1.5 Lt","1699.00","1699.00"
25929,"Gaseosa Tonica Schweppes 2.25 Lt","2699.00","2699.00"
25930,"Jugo Listo Manzana Roja 1.5 Lt","1100.00","1100.00"
25931,"Gaseosa Sprite Retornable 1.25 Lt","1739.00","1739.00"
25932,"Gaseosa Citrus Schweppes 1.5 Lt","2289.00","2289.00"
25933,"Gaseosa Coca Cola 6 Un 375 Cc","1248.00","1248.00"
25934,"Coca Cola sin Azucar 375 Ml","799.00","799.00"
25935,"Agua Mineral sin Gas Bonaqua 2.5 Lt","1619.00","1619.00"
25936,"Agua Saborizada Limonada sin Gas Aquarius 2.25 Lt","1999.00","1999.00"
25937,"Jugo Listo Durazno Cepita 1 Lt","469.00","469.00"
25938,"Jugo Listo Manzana Cepita 1 Lt","1489.00","1489.00"
25939,"Bebida Isotonica Pomelo Zero Powerade 500 Ml","310.00","320.00"
25940,"Agua Saborizada Citrus con Gas Aquarius 500 Ml","205.00","205.00"
25941,"Agua Saborizada Limonada con Gas Aquarius 500 Ml","205.00","205.00"
25942,"Gaseosa Naranja sin Azucar Fanta 3 Lt","3989.00","3989.00"
25943,"Gaseosa Sabor Naranja Fanta 375 Cc","749.00","749.00"
25944,"Agua Saborizada Pomelo Aquarius 500 Ml","205.00","205.00"
25945,"Agua Saborizada Manzana Aquarius 500 Ml","205.00","205.00"
25946,"Agua Saborizada Manzana Aquarius Cero 1.5 Lt","1869.00","1869.00"
25947,"Agua Saborizada Naranja Aquarius Cero 1.5 Lt","1869.00","1869.00"
25948,"Agua de Mesa con Gas Kin 500 Cc","160.00","165.00"
25949,"Agua Mineral sin Gas Botellon Kin 6.25 Lt","200.00","200.00"
25950,"Gaseosa Sprite 375 Ml","749.00","749.00"
25951,"Agua de Mesa Sin Gas Kin 2.25 Lt","416.00","416.00"
25952,"Gaseosa Zero Coca Cola 1 Lt","1689.00","1689.00"
25953,"Coca Cola Retornable 2.5 Lt","2389.00","2389.00"
25954,"Coca Cola Light Sabor Liviano 2.5 Lt","5280.00","5390.00"
25955,"Coca Cola Light en Lata 6 Un 354 Cc","759.00","759.00"
25956,"Jugo Listo Durazno Delicioso Cepita 1.5 Lt","2659.00","2769.00"
25957,"Jugo Listo Anana Tropical Cepita 1.50 Lt","2199.00","2199.00"
25958,"Jugo Listo Naranja Cepita Tentacion 300 Cc","1380.00","1390.00"
25959,"Jugo Sabor Naranja Botella Cepita 300 Ml","1019.00","1019.00"
25960,"Jugo Natural 0 Azucar Naranja Cepita 1 Lt","1959.00","1959.00"
25961,"Gaseosa Pomelo Crush 3 Lt","420.00","420.00"
25962,"Gaseosa Lima Limon Crush 3 Lt","301.00","301.00"
25963,"Agua Saborizada Pomelo Aquarius 375 Ml","749.00","749.00"
25964,"Agua Saborizada Pera Aquarius 375 Ml","749.00","749.00"
25965,"Agua Saborizada Naranja Aquarius 375 Ml","749.00","749.00"
25966,"Jugo Natural Manzana Hi-C 2.25 Lt","1609.00","1609.00"
25967,"Jugo Listo Naranja Hi-C 2.25 Lt","1499.00","1499.00"
25968,"Agua sin Gas Kin 600 Ml","91.00","92.00"
25969,"Jugo de Durazno Ades 200 Ml","669.00","669.00"
25970,"Jugo de Manzana Ades 200 Ml","900.00","1150.00"
25971,"Jugo de Anana Ades 1 Lt","1699.00","1699.00"
25972,"Jugo a Base de Soja Sabor Durazno Ades 1 Lt","2069.00","2069.00"
25973,"Agua Mineral con Gas Kin 500 Cc","91.00","92.00"
25974,"Bebida de Soja Sabor Frutilla Ades 1 Lt","1795.20","1870.00"
25975,"Jugo Sabor Frutilla Ades 6 Un 200 Ml","596.00","621.00"
25976,"Gaseosa Cola sin Azucar Cafeina Coca Cola Lata 220 Cc","499.00","499.00"
25977,"Jugo de Naranja 25% Cepita 200 Ml","91.00","95.00"
25978,"Jugo de Manzana Cepita del Valle 200 Ml","91.00","95.00"
25979,"Gaseosa Lima Limon sin Azucar Mini Sprite 237 Ml","599.00","599.00"
25980,"Jugo de Almendras sin Azucar Ades 1 Lt","2262.00","2365.00"
25981,"Agua Mineral con Gas Benedictino 500 Cc","218.00","218.00"
25982,"Agua Mineral sin Gas Benedictino 500 Cc","218.00","218.00"
25983,"Agua Mineral sin Gas Benedictino 2.25 Lt","398.00","398.00"
25984,"Soda Benedictino 2 Lt","1099.00","1099.00"
25985,"Jugo de Pomelo Fresh Cepita 2.25 Lt","442.00","442.00"
25986,"Jugo de Manzana Fresh Cepita del Valle 2.25 Lt","464.00","464.00"
25987,"Gaseosa Pomelo Regular Fanta 2.5 Lt","1799.00","1799.00"
25988,"Gaseosa Manzana Fanta 2.5 Lt","1799.00","1799.00"
25989,"Agua de Mesa sin Gas Benedictino 3 Lt","1299.00","1299.00"
25990,"Agua Tonica sin Azucar Lata Schweppes 310 Ml","1399.00","1399.00"
25991,"Agua Mineralizada sin Gas Smart Water 991 Ml","1200.00","1450.00"
25992,"Aperitivo Amargo Limon Tres Torres 1.5 Lt","1159.00","1159.00"
25993,"Agua Mineral Carrefour 6.25 Lt","2890.00","2890.00"
25994,"Bebida Energizante Berry Gatorade 500 Ml","1239.00","1239.00"
25995,"Bebida Naranja sin Azucar Pet Gatorade 500 Cc","1239.00","1239.00"
25996,"Gaseosa Pomelo sin Azucar Paso de Los Toros Pet 1 Un","1139.00","1139.00"
25997,"Gaseosa Naranja Regular Mirinda 500 Cc","440.00","450.00"
25998,"Gaseosa Naranja Mirinda 1.5 Lt","1999.00","2079.00"
25999,"Gaseosa Cola Pepsi Light 1.5 Lt","1609.00","1669.00"
26000,"Gaseosa Cola Black Pepsi 2.25 Lt","3969.00","3969.00"
26001,"Gaseosa Manzana Mirinda 2.25 Lt","456.00","470.00"
26002,"Gaseosa Pepsi Light 2.25 Lt","3579.00","3579.00"
26003,"Agua Saborizada Lima Limon con Gas H2Oh! 2.25 Lt","1799.00","1799.00"
26004,"Agua Saborizada Naranchelo H2Oh! 2.25 Lt","1999.00","1999.00"
26005,"Agua Saborizada Limoneto con Gas H2Oh! 2.25 Lt","2000.00","2000.00"
26006,"Gaseosa Cola Pet Botella Pepsi 250 Cc","569.00","569.00"
26007,"Gaseosa Cola Pepsi 500 Ml","1580.00","1590.00"
26008,"Gaseosa Cola Pepsi 1.5 Lt","2880.00","2940.00"
26009,"Gaseosa Pepsi 3 Lt","3689.00","3799.00"
26010,"Gaseosa 7 Up 500 Cc","1580.00","1590.00"
26011,"Gaseosa 7 Up 1.5 Lt","2880.00","2940.00"
26012,"Agua Saborizada Pera Livra 1.5 Lt","1199.00","1299.00"
26013,"Agua Saborizada Pomelo sin Gas Livra 1.5 Lt","1199.00","1299.00"
26014,"Gaseosa Limon Pritty 1.5 Lt","1409.00","1497.00"
26015,"Agua Saborizada Naranja Livra 1.5 Lt","1199.00","1299.00"
26016,"Gaseosa Limon Pritty 500 Cc","779.00","779.00"
26017,"Soda en Sifon Saldan 2 Lt","1235.00","1300.00"
26018,"Gaseosa Limon Pritty 3 Lt","2299.00","2299.00"
26019,"Gaseosa Limon Cero Pritty 2.25 Lt","1899.00","1939.00"
